AirlineId,Name,HotlineNumber,IcaoCode,Callsign
d0d0c710-a3f3-445f-a141-065bd30fa3c8,Ukraine Air Alliance,,UKL,UKRAINE ALLIANCE
76f962a3-a101-45ef-a2c8-c64a94fe27cb,Martin-baker Ltd. - United Kingdom,,MBE,MARTIN
3f02a571-822a-4f84-8254-ff2be782cfd2,Badr Airlines,,BDR,BADR AIR
fd06b74e-6223-4c0c-948e-c78047b3cb76,Nicholas Air,,JTZ,JTZ287
12590374-7bae-4b96-82b6-be2e3a4ba9d1,Jordan Aviation,,JAV,JORDAN AVIATION
307fbef4-5cb7-4c84-9b5c-83691442509b,Air Zermatt Ag,,AZF,AIR ZERMATT
fd470019-ccca-4ded-b2b9-2ac41dc067a1,Condor Flugdienst,,CFG,CONDOR
7e6d6950-d284-4b22-80b3-bbd517b9f034,Philippine Airlines,,PAL,PHILIPPINE
4d168701-a59f-4745-b876-e30602c4490d,Alkan Air,,AKN,ALKAN AIR
23ee5d1c-887a-4b8a-8aa0-5b04b5975a87,Iberia Airlines,,IBE,IBERIA
bbac0d7b-6172-4d8e-862b-7a33b1b2ba0a,Edelweiss Air,,EDW,EDELWEISS
7de89a45-5329-404e-a7c6-f09f096dd66a,Aeroméxico,,AMX,AEROMEXICO
209fd3ff-99a3-4718-bbc0-8ab07124fb0d,Baltic Airlines,,BLL,BALTIC AIRLINES
74b511e4-a6a8-426e-8e2c-9870e0590fd6,Mississippi State University,,BDG,BULLDOG
f2d1d81a-6133-4e91-bef9-8870f7418011,Sky Express,,SXR,SKYSTORM
540118a7-09d6-4ebb-b1d9-bbc456d57940,Titan Airways,,AWC,ZAP
066a36b7-b22e-4db3-9302-63d655c97a32,Worldwide Jet Charter,,WWI,WORLDWIDE
20c8c0b4-d1a6-4283-a27e-9b6418495412,Malta Air,,MMO,
c5a37743-4b98-43f6-a8ca-a2131c85a583,Falcon Aviation Services,,FVS,FALCON AVIATION
8f1c30e6-60e1-435f-b110-f5a08487ccf9,Angara Airlines,,AGU,SARMA
8f6b3dab-ad20-4b96-9aa9-cf4844280946,Aviaservice,,BIV,AVIASERVICE
3a935aca-6b22-4302-b8d3-768e3854d298,Phoenix Air Group,,PHA,GRAY BIRD
a367bfd5-9aec-4ac0-9be7-265a042d7c00,Virgin Atlantic Airways,,VIR,VIRGIN
d8175112-9d3e-4fdb-9a76-7b1203c187e6,Irish Air Corps,,IRL,IRISH
e4b63083-800c-4db7-a2e3-61bc3c377c4e,Hk Bellawing,,BWJ,
9779c115-eaf4-4dcb-938a-6675d8ec933f,Canadian Coast Guard,,CTG,CANADIAN COAST GUARD
62b701dd-0bbc-4378-99f2-577bdfcd4be1,Austrian Airlines,,AUA,AUSTRIAN
a55f6382-31bb-423c-a3f3-7da0273f4fd6,Flydubai,,FDB,SKYDUBAI
6bf33b55-97db-4aef-a9ee-df45386cfd00,Universal Avia,,HBU,KHARKIV UNIVERSAL
